sep=,
구분,파라미터,key,값,단위,의미,값 출처,수식,이론 근거,모델 가정
레이더(고급),Pd 전이 폭,sensor.pd_transition_width_m,300,m,[곡선 형태] Pd가 거리에 따라 떨어지는 로지스틱 폭. 기준 탐지거리·Pd에서 곡선 중심을 역산할 때도 쓰임 — 보통 만지지 않음.,가정: 경계 완만도 모델값 · 편집 가능,P_d(r) = P_max / (1 + e^((r − R_half)/w)) / w = 전이 폭,탐지확률의 거리 경계 롤오프.,로지스틱(시그모이드) 근사 — 실제로는 SNR–거리 ROC로 산출해야 함. RCS 스케일 시 곡선은 평행이동만 하고 w는 고정(형태 보존 가정).
레이더,재방문 주기,sensor.revisit_time_s,1,s,스캔 재방문 간격. 진입거리→필요 탐지거리 구간을 이 간격으로 샘플해 적시 누적 Pd=1−Π(1−pd) 계산.,가정: 스캔율 모델값 · 편집 가능,"P_det = 1 − Π(1 − p_d,i) / 샘플 간격 Δr = v_t · t_revisit",독립 시행 결합 확률(직렬 게이트/이항): 접근 트랙의 독립 스캔 누적.,스캔 간 탐지 독립.
레이더,레이더 트랙 유효 신뢰도,sensor.radar_track_confidence,0.95,,적시 탐지에 성공했다는 조건에서 해당 트랙이 교전 선언·사격 지원에 충분히 안정적일 확률. P_detect와 다른 조건부 품질 게이트이며 EO 미적용 정책에서만 P_terminal로 사용.,"추적/사격통제 시험값(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","P_terminal,radar = P(valid fire-control track | timely detection) / P_chain ∝ P_detect × P_terminal,radar",독립 시행 결합 확률(직렬 게이트/이항): 적시 탐지 발생과 탐지 후 트랙 유효성을 서로 다른 조건부 게이트로 분리.,레이더 추적/사격통제 시험값이 없으면 독립 조건부 확률로 근사. P_detect와 같은 자료에서 산출했다면 중복 감점이므로 1로 두거나 조건부 시험값으로 교체.
EO/IR,EO 처리 시간,sensor.classify_time_s,6,s,"발사 후 탑재 EO가 획득을 시작해 인식/식별을 완료하는 시간. EO 게이트가 활성일 때만 시간 성립성을 판정하며, 성립 구간 안에서는 광학확률을 연속 감점하지 않음.","가정·입력값(미확정, 편집 가능) · 실측 시 교체","D_EO,start = D_EO,complete + (v_i+v_t)·t_EO / t_react,prelaunch = t_decision + t_launch",1차 등속·직선 반경(radial) 운동학: 발사 후 요격기↔표적 상대거리 감소 구간에 적용.,요격기와 표적이 같은 방사선·고도에서 정면 접근하고 EO 처리는 연속 수행된다고 근사.
EO/IR,EO 과업 신뢰도 상한,sensor.classify_prob,0.95,,EO D/R/I 사용 시 P_terminal EO = 획득×Johnson 과업확률×대기투과×이 조건부 상한. 픽셀·획득·대기 이외의 알고리즘/운용자 잔여 손실이며 EO 미적용에서는 사용하지 않음.,"분류기/운용자 정확도(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","EO D/R/I: P_terminal EO = P_acq × P_Johnson,task × T_atmosphere × P_EO,ceiling / EO 미적용: 사용하지 않음",독립 시행 결합 확률(직렬 게이트/이항): EO 과업은 획득·선택한 Johnson 탐지/인식/식별·대기투과·판별 신뢰도의 직렬 게이트.,EO D/R/I 사용 시 각 게이트를 독립 곱으로 근사. 실제 영상시험으로 N50/ROC를 통합 보정했다면 이 상한 또는 대기항과 손실이 중복될 수 있으므로 보정 정의에 맞춰 1로 두거나 재추정.
EO/IR,가로 해상도,optics.h_resolution_px,1920,px,이미지 가로 픽셀 수. 표적 픽셀 수 N = 크기·H/(거리·HFOV_rad)의 분자. ↑성능.,"카메라 스펙(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",IFOV = HFOV_rad / H_px / N_px = size / (range · IFOV),기하광학: IFOV = HFOV_rad / H_px.,
EO/IR,화각 HFOV,optics.hfov_deg,1.5,°,수평 화각. 좁히면 표적 픽셀은 늘지만 고정 카메라 획득확률은 낮아짐. 두 효과의 곱이므로 무조건 좁을수록 좋은 것이 아니라 최적점이 존재.,"카메라/렌즈 스펙(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",N_px = size / (range · HFOV_rad / H_px)      (인식↑ as HFOV↓) / P_acq = 1 − exp(−(HFOV/2)² / (2σ²))          (획득↓ as HFOV↓) / P_classify ∝ P_acq · 인식 → 최적 화각 존재,기하광학(픽셀 각크기) + 원형 가우시안 지향오차 → 반경오차 Rayleigh 분포(CEP 계열)(획득). 두 효과가 반대.,수직 화각 입력이 없어 HFOV 반각을 원형 FOV 반경으로 사용. 실제 사각 프레임·종횡비에 대한 오차 방향은 보장되지 않으며 넓은 화면에서는 낙관적일 수 있음.
EO/IR,센서 폭,optics.sensor_width_mm,6.4,mm,이미지 센서 물리 폭. 초점거리↔화각 환산 표시용(인식 계산에는 직접 미사용).,센서 스펙(입력),HFOV = 2 · atan(sensor_w / (2 · f)),박막 렌즈 화각 관계.,
EO/IR,EO 과업 완료 상대거리,optics.terminal_recognition_range_m,500,m,발사 후 요격기 카메라↔표적의 상대 LOS 거리가 이 값일 때 선택한 EO 탐지/인식/식별 과업을 완료. 자산↔표적 거리가 아님.,"종말 EO 운용 요구값(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","D_EO,start = D_EO,complete + (v_i+v_t)·t_EO / t_complete = (D_launch − D_EO,complete)/(v_i+v_t)",1차 등속·직선 반경(radial) 운동학: 발사 후 요격기와 위협의 상대거리는 closing 속도(v_i+v_t)로 감소.,요격기와 표적이 같은 방사선·고도에서 정면 접근하는 1차 근사. 상대 고도차는 미반영.
EO/IR,EO 탐지 N50,optics.n50_detection,2,px,EO 화면에서 관심 물체의 존재를 50% 확률로 발견하는 픽셀 문턱. Johnson 1.0cycle을 디지털 영상의 약 2px로 환산.,Johnson D/R/I 기준: SAND2015-6368 · 기본 2px(1.0cycle×2) · 실제 체계 시험 시 교체,"P_task = nᴱ / (1 + nᴱ),  n = N_px / N50_탐지 / N50_탐지 = 1.0 cycle × 2 ≈ 2 px","Johnson, “Analysis of Image Forming Systems”(1958) · NVESD 표적획득 모델(TTP/N50); Sjaardema·Smith·Birch, History and Evolution of the Johnson Criteria, SAND2015-6368 (2015): 탐지 50% 기준 ≈1.0±0.25 cycle/표적 임계치수.",디지털 표본화의 최소 환산으로 1 resolved cycle≈2px를 적용해 기본 2px. 실제 자동탐지기는 ROC/시험자료로 보정 필요.
EO/IR,EO 인식 N50,optics.n50_recognition,8,px,발견한 물체를 드론/조류 또는 위협 유형 같은 표적 클래스로 50% 확률로 구분하는 픽셀 문턱. Johnson 4.0cycle≈8px.,Johnson D/R/I 기준: SAND2015-6368 · 기본 8px(4.0cycle×2) · 드론 과업 시험 시 교체,"P = nᴱ / (1 + nᴱ),  n = N_px / N50_인식,  E = 2.7 + 0.7·n","Johnson, “Analysis of Image Forming Systems”(1958) · NVESD 표적획득 모델(TTP/N50): 인식급 ≈4.0 cycle. 판별수준별 N50 상이(탐지<인식<식별).",사용자 입력 단위는 px이며 1 cycle≈2px로 환산. 문헌 4.0cycle의 기본 환산값은 8px. 실제 드론/조류 과업은 시험자료로 보정 필요.
EO/IR,EO 식별 N50,optics.n50_identification,12.8,px,인식한 표적의 특정 기종·모델/개체군을 50% 확률로 구분하는 픽셀 문턱. Johnson 6.4cycle≈12.8px.,Johnson D/R/I 기준: SAND2015-6368 · 기본 12.8px(6.4cycle×2) · 기종별 시험 시 교체,"P = nᴱ / (1 + nᴱ),  n = N_px / N50_식별","Johnson, “Analysis of Image Forming Systems”(1958) · NVESD 표적획득 모델(TTP/N50): 식별급 ≈6.4 cycle. 판별수준별 N50 상이(탐지<인식<식별).",사용자 입력 단위는 px이며 1 cycle≈2px로 환산. 문헌 6.4cycle의 기본 환산값은 12.8px. 실제 기종 식별 과업은 시험자료로 보정 필요.
EO/IR,레이더 큐 오차,optics.cue_error_deg,0.3,°,레이더가 카메라에 넘기는 각도 오차. 모델에서는 수평·수직 각축의 동일한 1σ를 갖는 등방성 2D 가우시안으로 근사해 획득확률에 반영.,추천 기본값 0.3°(sub-degree 설계목표) · 실측/스펙 입력 필요(SME),σ = √(cue² + point²) / P_acq = 1 − exp(−(HFOV/2)² / (2σ²)),원형 가우시안 지향오차 → 반경오차 Rayleigh 분포(CEP 계열). 짐벌 없는 고정 FOV → 획득이 별도 관문.,입력값을 수평·수직 각축에 동일하게 적용되는 등방성 2D 가우시안의 축별 1σ로 취급. 큐·지향 오차는 독립이라 분산 가산.
EO/IR,요격기 지향 오차,optics.pointing_error_deg,0.4,°,전방 고정 카메라를 비행으로 조준할 때의 LOS 오차. 등방성 2D 각오차의 축별 1σ로 근사하며 큐 오차와 분산을 합쳐 P_acq를 계산.,추천 기본값 0.4°(sub-degree 설계목표) · 짐벌 미도입 확정 → 큐+유도로만 확보 · 실측/스펙 입력 필요,σ = √(cue² + point²) / P_acq = 1 − exp(−(HFOV/2)² / (2σ²)),원형 가우시안 지향오차 → 반경오차 Rayleigh 분포(CEP 계열). 요격기 LOS 지향(유도) 오차.,입력값을 등방성 2D 각오차의 축별 1σ로 취급. 큐·지향 오차는 독립이라 분산 가산.
EO/IR,대기 시정,optics.visibility_km,40,km,Koschmieder 시정으로 대기 투과를 근사. 낮을수록 원거리 판별확률이 감소. 현재는 가시광 식을 EO/IR에 공통 적용하는 단순화로 실제 IR 대역 감쇠와 다를 수 있음.,"기상/환경 입력 · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",β = 3.912 / V(km) / T(R) = exp(−β · R) / P_classify ∝ … × T,"Koschmieder(β=3.912/V, 2% 대비) + Beer-Lambert 투과 T=exp(−βR).",균질 대기·수평 경로·대비 손실만 반영. 가시광 Koschmieder 관계를 EO/IR에 공통 적용한 근사이며 실제 IR 파장대의 흡수·산란은 다를 수 있음.
이팩터,발사 지연,effector.launch_delay_s,4,s,승인→공중(스핀업+발사)까지 지연. 반응 예산에 포함.,"가정·입력값(미확정, 편집 가능) · 실측 시 교체","t_react,prelaunch = t_decision + t_launch",1차 등속·직선 반경(radial) 운동학: 반응 예산 구성요소.,
이팩터,요격 속도,effector.cruise_speed_m_s,50,m/s,요격기 외향 순항 속도. 위협과의 closing 속도(v_i+v_t)에 사용.,"참고: AB-U10≈50m/s(목업) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",t_meet = gap / (v_i + v_t) / R_int = R_pad + v_i · t_meet,"1차 등속·직선 반경(radial) 운동학: 접근속도 v_i+v_t, 회합 시각으로 요격거리 산출.",
이팩터,발사 개시 거리,effector.commit_range_m,3000,m,"교리상 이 거리에서 발사. 일찍 탐지해도 결정론적 발사 시점은 앞당기지 않지만, 적시 누적 P_detect는 포화 전까지 높아질 수 있음. 탐지가 늦으면 가능한 즉시 발사.","운용 교리(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","R_launch = min(R_commit, R_detect − v_t · (t_decision+t_launch)) / 필요 탐지거리 = R_commit + v_t · (t_decision+t_launch) / D_EO,complete = 카메라↔표적 상대거리 입력",1차 등속·직선 반경(radial) 운동학: 교전은 교리(대응 거리)로 개시되며 탐지 시점으로 개시되지 않음.,"위협이 이 거리에 도달하면 발사. 탐지가 늦어 결심+발사 지연이 안 들어가면 그때만 ""가능한 즉시"" 발사로 후퇴. EO는 발사 후 별도 상대거리 시간선으로 계산."
이팩터,요격기 도달 반경,effector.max_engagement_range_m,2500,m,"현재 1차원 모델에서 자산 중심 요격지점 반경 R_int의 상한. 발사대 실제 비행거리 상한이 아닌 구현상 반경 제한이며, 넷건 종말 사거리와도 별개.","이팩터 스펙(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",요격 성립 ⟺ keep-out < R_int ≤ 도달 반경,1차 등속·직선 반경(radial) 운동학: 현재 구현의 요격지점 반경 상한.,1차원 자산 중심 radial 모델이 R_int를 직접 상한과 비교. 발사대에서 실제로 비행한 경로 길이 상한으로 계산하지 않음. 종말 근접·발사는 P_kill에 암묵 포함.
이팩터,발사대 거리,effector.launch_pad_range_from_asset_m,0,m,보호 자산으로부터 발사대까지의 반경. 현재 1차원 모델은 발사대가 위협 진입 방향과 같은 방사선의 자산 바깥쪽에 있다고 가정.,배치 설정값,R_int = R_pad + v_i · t_meet,1차 등속·직선 반경(radial) 운동학: 요격 기하의 출발점.,발사대가 위협 진입 방향과 같은 방사선 위 자산 바깥쪽에 있다고 가정하는 1차원 기하. 임의 지도 방위의 직선거리만으로는 표현하지 못함.
이팩터,단발 Pk · net,effector.single_shot_pk_net,0.7,,넷건 단발 살상확률(0..1). 누적 Pk=1−(1−p)^n의 p.,"가정·입력값(미확정, 편집 가능) · 실측 시 교체",P_k = 1 − (1 − p)ⁿ,독립 시행 결합 확률(직렬 게이트/이항): 독립 시행 이항 누적.,사격 간 독립.
이팩터,단발 Pk · shotgun,effector.single_shot_pk_shotgun,0.6,,샷건 단발 살상확률(0..1). payload=shotgun일 때 사용.,"가정·입력값(미확정, 편집 가능) · 실측 시 교체",P_k = 1 − (1 − p)ⁿ,독립 시행 결합 확률(직렬 게이트/이항): 독립 시행 이항 누적.,사격 간 독립.
이팩터,사격 기회 수,effector.shot_opportunities,2,,교전창 내 사격/패스 횟수 n. 누적 Pk=1−(1−p)^n.,"가정·입력값(미확정, 편집 가능) · 실측 시 교체",P_k = 1 − (1 − p)ⁿ,독립 시행 결합 확률(직렬 게이트/이항): 독립 시행 횟수 n.,사격 간 독립 · 한계효용 체감.
이팩터,체공 시간,effector.endurance_s,1200,s,"유효 반경 상한을 min(도달 반경, 순항속도×체공시간)으로 제한. 현재 구현은 이 값을 자산 중심 R_int 상한으로 사용하며 실제 발사대 출발 비행거리와는 다를 수 있음.","이팩터 스펙(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","유효 반경 = min(요격기 도달 반경, v_i · 체공시간)",1차 근사 유효 반경은 스펙 상한과 속도×시간 상한 중 작은 값.,v_i·체공시간을 자산 중심 radial R_int 상한으로 적용. 실제 발사대 출발 경로 길이·가감속·복귀 여유는 미반영.
이팩터,여유 σ,effector.reach_margin_sigma_m,200,m,Keep-out 여유의 1σ 불확실성. P_reach를 0/1 대신 Φ(여유/σ)로 연속화(0=하드 게이트).,"모델 파라미터(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",P_reach = Φ(여유_m / σ),여유 불확실성 가정 하 정규 CDF로 도달 확률화.,여유 오차 정규분포. σ→0이면 하드 0/1 게이트로 수렴.
C2,결심 지연,c2.decision_latency_s,10,s,CONFIRM→APPROVE 운용자 결심 소요. 반응 예산에 포함(교전 성립에 큰 영향).,"가정·입력값(미확정, 편집 가능) · 실측 시 교체","t_react,prelaunch = t_decision + t_launch",1차 등속·직선 반경(radial) 운동학: 반응 예산에서 큰 비중.,
C2,결심 신뢰도,c2.decision_reliability,0.98,,창 안에서 운용자가 올바르게 교전 승인할 확률(0..1). P_decision 게이트.,"가정·입력값(미확정, 편집 가능) · 실측 시 교체",P_negate = P_detect · P_classify · P_decision · P_reach · P_kill,독립 시행 결합 확률(직렬 게이트/이항): 킬체인은 단계 확률의 곱.,단계 독립.
C2,비위협 유입률,c2.non_threat_rate,0.2,,[오교전 옵션] 제시 트랙 중 실제 비위협(새·아군·클러터) 비율. 오교전 확률 = 이 값 × ROE별 오통과율.,가정(모델 파라미터) · 편집 가능,P_오교전 = 비위협 유입률 × 비위협 오통과율(현 교전기준),오교전 위험(옵션) = 비위협 유입률 × ROE별 오통과율. P_negate와 별개 지표.,옵션 OFF면 미계산. 비위협 신호모델은 단순 비율 가정.
C2,비위협 오통과 · 탐지,c2.false_pass_detection,0.8,,[오교전 옵션] 레이더 추적만 또는 EO 탐지 수준에서 비위협이 오통과할 조건부 확률. 광학/N50에서 계산되지 않는 독립 입력값.,가정(모델 파라미터) · 편집 가능,P_오교전 = 비위협 유입률 × 이 값 (교전기준=탐지일 때),레이더 추적만 또는 EO 탐지처럼 낮은 판별 수준일수록 비위협이 걸러지지 않고 통과할 가능성이 큼.,광학 성능·N50·시정에서 유도하지 않는 독립 조건부 확률 입력. EO 파라미터를 바꿔도 자동 변경되지 않음.
C2,비위협 오통과 · 인식,c2.false_pass_recognition,0.2,,[오교전 옵션] 교전 기준=인식일 때 비위협 오통과 조건부 확률. 광학/N50에서 계산되지 않는 독립 입력값.,가정(모델 파라미터) · 편집 가능,P_오교전 = 비위협 유입률 × 이 값 (교전기준=인식일 때),EO 인식이 비위협(새 등)을 위협 드론으로 오인할 확률은 낮음.,광학 성능·N50·시정에서 유도하지 않는 독립 조건부 확률 입력. EO 파라미터를 바꿔도 자동 변경되지 않음.
C2,비위협 오통과 · 식별,c2.false_pass_identification,0.05,,[오교전 옵션] 교전 기준=식별일 때 비위협 오통과 조건부 확률. 광학/N50에서 계산되지 않는 독립 입력값.,가정(모델 파라미터) · 편집 가능,P_오교전 = 비위협 유입률 × 이 값 (교전기준=식별일 때),식별은 기종까지 확인 → 비위협 오통과 거의 없음.,광학 성능·N50·시정에서 유도하지 않는 독립 조건부 확률 입력. EO 파라미터를 바꿔도 자동 변경되지 않음.
사이트,Keep-out 반경,site.keep_out_radius_m,500,m,"이 반경 밖에서 무력화해야 하는 방어 경계. R_int≤경계면 feasible은 하드 실패지만, P_reach는 입력 σ에 따라 경계 부근을 연속 확률로 표시할 수 있음.","교전 규칙/배치(입력) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",교전 성립 ⟺ R_int > keep-out,1차 등속·직선 반경(radial) 운동학: 요격 성립·여유 판정 경계.,최종 feasible은 R_int가 경계 밖인지 하드 판정. 별도의 P_reach는 여유 σ가 0보다 크면 경계 부근 불확실성을 정규 CDF로 연속화.
사이트,자산 위도,site.asset.lat,37.5311,°,보호 자산 위도(지도 표시·커버리지 footprint 기준점).,배치 설정값(여의도 기본),(계산 입력 아님 · 표시/커버리지 기준점),배치 기하 기준점(지도·커버리지 중심).,
사이트,자산 경도,site.asset.lon,126.917,°,보호 자산 경도(지도 표시·커버리지 footprint 기준점).,배치 설정값(여의도 기본),(계산 입력 아님 · 표시/커버리지 기준점),배치 기하 기준점(지도·커버리지 중심).,
이팩터,페이로드,effector.payload,net_gun,,요격 페이로드 모드('net_gun' 또는 'shotgun'). 사용되는 단발 Pk를 선택.,운용 설정값,,,
EO/IR,종말 확인 정책,optics.required_discrimination,recognition,,발사 후 종말 확인 정책('radar_only' 또는 EO 'detection'/'recognition'/'identification'). EO D/R/I는 해당 N50을 사용.,운용 설정값,,,
C2,오교전 위험 모델,c2.false_engagement_enabled,off,,오교전(비위협 격추) 위험 계산 옵션('on'/'off'). off면 미계산.,운용 설정값,,,
